資料集識別碼,資料集名稱,資料提供屬性,服務分類,品質檢測,檔案格式,資料下載網址,編碼格式,資資料集上架方式,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註,資料量
165115,申辦、領取護照現場等待人數即時動態,檔案資料,公共資訊,銀,XML,https://www.boca.gov.tw/sp-wain-board-rss-1.xml,UTF-8,原始資料,外交部領事事務局現場及網路預約申辦護照領取護照現場等待人數,title;link;description;language;pubDate;copyright;location;AP_GeneralInProcessNumber;AP_GeneralWaitingPersonCount;AP_OnlineInProcessNumber;AP_OnlineWaitingPersonCount;RP_InProcessNumber;RP_WaitingPersonCount;RP_AMInProcessNumber;RP_AMWaitingPersonCount;RP_PMInProcessNumber;RP_PMInProcessNumber;AP_InProcessNumber;AP_WaitingPersonCount,外交部領事事務局,每1分,政府資料開放授權條款-第1版,https://www.boca.gov.tw/sp-wain-board-1.html,免費,汪士雄,0223432861,2023-08-31 00:00:00,2026-05-11 16:51:14,,0
177520,嘉義市政府網站-公報,檔案資料,公共資訊,白金,JSON,https://data.chiayi.gov.tw/opendata/api/getResource?oid=667c1664-a9cb-4b9d-b3ae-3d332ab121d2&rid=af9f41b9-3a5e-42f8-b56d-ac765542e675,UTF-8,系統介接程式,本項資料為提供嘉義市政府網站每月「市府公報」下載,Source;title;PostUnit;上版日期;File,嘉義市政府,每1月,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw,免費,行政處文書檔案科,05-2254321,2026-05-05 00:00:00,2026-05-07 10:00:19,,50
177527,30期公報資料集,檔案資料,公共資訊,銅,PDF,https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/56638308-35f9-4c4d-80fc-e5b1fde71099.pdf,UTF-8,系統介接程式,公報資料集描述,無,綜合發展處,不定期更新,政府資料開放授權條款-第1版,,免費,曹文豪 先生,082-318823,2026-05-05 16:24:00,2026-05-05 16:43:32,,1
177543,內政部115年度役政人員防災士培訓計畫,檔案資料,服兵役,銅,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/1DA26F0C-9EE2-4883-9600-5E49539ED0E0/resource/E7E255FA-35DE-4C7A-BC82-2678E28351CB/download,UTF-8,系統介接程式,依據災害防救法第22條第1項第2款、第23條第1項第2款暨內政部113年9月16日內授消字第1131604415號令頒之「防災士培訓及認證管理要點」辦理，為配合替代役納入防災協作中心運作，中央與地方辦理替代役作業人員取得「防災士」認證。,文本語料,替代役訓練及管理中心,不定期更新,政府資料開放授權條款-第1版,,免費,徐儷家,049-2394456,2026-05-06 16:28:55,2026-05-07 08:33:01,文本語料,0
177545,函釋替代役備役勤務召集機制,檔案資料,服兵役,銅,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/6E4D25CB-AD1B-4EB3-A635-F1332F93B9C4/resource/FBAC26D4-0580-4846-A9C4-EE32F2FAAB10/download,UTF-8,系統介接程式,有關替代役備役役男實施「勤務召集」執行災害防救工作之適用時機、辦理方式及執行作業細節等機制。,文本語料,替代役訓練及管理中心,不定期更新,政府資料開放授權條款-第1版,,免費,田怡珊,049-2394471,2026-05-06 16:28:55,2026-05-07 09:44:03,文本語料資料集,0
177644,桃園國際機場即時航班第二版,檔案資料,交通及通訊,金,CSV,https://odp.taoyuan-airport.com/dataset/2025102001?format=csv,UTF-8,系統介接程式,桃園國際機場即時航班,航廈;方向;航空公司代碼;航空公司中文;班次;機門;表訂日期;表訂時間;預計日期;預計時間;往來地點;往來地點英文;往來地點中文;備註;行李轉盤;報到櫃台;航班動態中文;航班動態英文;機型;其他航點;其他航點英文;其他航點中文,桃園國際機場股份有限公司,不定期更新,政府資料開放授權條款-第1版,,免費,王 先生,03-3063731,2026-05-20 00:00:00,2026-05-20 11:23:35,,0
177414,115年3月花蓮縣使用牌照稅稽徵   ,檔案資料,交通及通訊,金,CSV,https://ws.hl.gov.tw/001/Upload/518/relfile/22646/206742/3dba838b-29d4-4848-9fc2-4445fe8818d5.csv,UTF-8,原始資料,"花蓮縣車輛件數及稅額
",項目;件數合計;稅額合計;應稅車輛件數;應稅車輛稅額;臨時牌照車輛件數;臨時牌照車輛稅額;試車牌照車輛件數;試車牌照車輛稅額;免稅車輛,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,蔡欣華,038226121#242,2026-04-14 00:00:00,2026-04-14 15:41:35,,32
177447,115年3月花蓮縣滯納及違章罰鍰移送執行情形月報表(以前年度),檔案資料,公共資訊,銀,ODS,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA3MDkzL2E2ZDNmYzBjLTczMzctNDAwYy1iODE3LTViYTA2NDY3ZTQ1YS5vZHM%3d&n=MTE15bm0MDPmnIjoirHok67nuKPmu6%2fntI3lj4rpgZXnq6DnvbDpjbDnp7vpgIHln7fooYzmg4XlvaLmnIjloLHooago5Lul5YmN5bm05bqmKS5vZHM%3d,其他,原始資料,＊統計地區範圍及對象：凡逾滯納期未經徵起之欠稅費，經移送強制執行者均屬之。 ＊統計標準時間：本月資料以每月1日至月底，累計資料以每一會計年度起始日至當月底之事實為準。,花蓮縣地方稅務局,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,賴淑娟,03-8226121-413,2026-04-17 00:00:00,2026-04-17 14:25:27,,48
177436,114年警察機關受理詐欺案件概況,檔案資料,生活安全及品質,銅,PDF,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/1005A4EB-F48F-44AE-A357-4D9549CB32B4/resource/D8E8C95F-ED1D-415B-A529-AEF5A815E195/download,UTF-8,系統介接程式,114年詐欺犯罪19.8萬件，詐欺被害人24歲以上皆以「投資詐欺」最多,文本資料,警政署,不定期更新,政府資料開放授權條款-第1版,,免費,王琇慧,02-23931791#6122,2026-04-16 14:09:25,2026-04-16 14:12:01,本資料集為文本語料資料,0
177687,交通部運輸研究所110年度會計報告,檔案資料,公共資訊,金,XML;XML;XML;XML;XML;XML;XML;XML;XML;XML;XML;XML,https://www.iot.gov.tw/uploads/asset/data/6662559f0857771c11b3a813/110-01XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f08577750c42146b2/110-02%E6%9C%88%E5%A0%B1XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f08577750c42146aa/110.03%E6%9C%88%E6%9C%88%E5%A0%B1_XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559e0857771c121e2ab6/11004%E6%9C%83%E8%A8%88%E6%9C%88%E5%A0%B1_XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559e0857771c121e2ab8/11005%E6%9C%88%E5%A0%B1XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f0857771c11b3a815/110_06%E6%9C%88%E5%A0%B1XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f08577750c42146b4/110_07%E6%9C%88%E5%A0%B1XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559e0857771c121e2ab4/11008%E6%9C%88%E5%A0%B1XML__1_.zip;https://www.iot.gov.tw/uploads/asset/data/6662559e08577750c42146a6/11009%E6%9C%88%E5%A0%B1_XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f08577750c42146a8/110.10%E6%9C%88%E5%A0%B1_XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f0857771c11b3a809/110.11_%E6%9C%88%E5%A0%B1XML.zip;https://www.iot.gov.tw/uploads/asset/data/6662559f0857771c11b3a80b/110-12%E6%9C%88%E5%A0%B1XML.zip,UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8,系統介接程式,歲入累計表、經費累計表、平衡表、無形資產變動表、歲出用途別累計表、繳付公庫數分析表、公庫撥付數分析表、收入支出表、預算執行及會計收支對照表,科目;預算數;累計分配數;執行數;執行數較分配增減數,交通部運輸研究所,不定期更新,政府資料開放授權條款-第1版,,免費,洪 小姐,02-23496739,2026-06-02 00:00:00,2026-06-03 16:36:33,,0;0;0;0;0;0;0;0;0;0;0;0
177691,車輛異動，記得辦理eTag終止及帳戶退費,檔案資料,交通及通訊,無(未做品檢),PDF,https://www.freeway.gov.tw/Download_File_Direct.ashx?id=643&FileConditionsID=1,其他,系統介接程式,民眾於監理機關辦理車輛異動登記，原車主除了要主動查詢及繳清通行費，避免產生逾期罰單外，也要記得辦理eTag終止及帳戶餘額退費,車輛異動，記得辦理eTag終止及帳戶退費,交通部高速公路局,不定期更新,政府資料開放授權條款-第1版,,免費,潘 小姐,02-29096141#2435,2026-06-03 00:00:00,2026-06-03 10:44:54,,0
177692,115年5月花蓮縣土地增值稅徵收,檔案資料,購屋及遷徙,金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjEwMzM1L2Q1MjRmYWYyLTVjMzgtNDlmOS1hMjAyLWI5MTRiNDNmYWE5Ny5jc3Y%3d&n=MTE15bm0NeaciOiKseiTrue4o%2bWcn%2bWcsOWinuWAvOeoheW%2bteaUti5jc3Y%3d,UTF-8,原始資料,花蓮縣115年5月土地增值稅徵收,類          別;;筆數;面積;土地漲價總數額;查定稅額;應納稅額,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,游守平,03-8226121#172,2026-06-03 00:00:00,2026-06-03 14:01:53,,13
177695,115年4月份村里人口數統計表,檔案資料,公共資訊,金,XML;CSV;JSON;XLSX,https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/e534ece0-7260-4ab4-84c9-9a7268ec3787.xml;https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/e534ece0-7260-4ab4-84c9-9a7268ec3787.csv;https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/e534ece0-7260-4ab4-84c9-9a7268ec3787.json;https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/e534ece0-7260-4ab4-84c9-9a7268ec3787.xls,UTF-8;BIG5;UTF-8;UTF-8,系統介接程式,金門縣各鄉鎮村里人口數,編號;村別數;鄰數;戶數;男數;女數;總人口數;出生人數;死亡人數;結婚對數;離婚對數;遷入人數;遷出人數,民政處,不定期更新,政府資料開放授權條款-第1版,,免費,鄭綿綿 女士,082-318823,2026-06-04 08:20:00,2026-06-04 08:21:07,,1;1;1;1
177556,115年4月新竹市iHsinchu免費無線上網熱點流量統計一覽表,檔案資料,公共資訊,白金,XLSX;CSV;XML;JSON,https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1992/80b22a7e-6420-42a6-8f2a-91c048589735.xlsx;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1992/80b22a7e-6420-42a6-8f2a-91c048589735.csv;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1992/80b22a7e-6420-42a6-8f2a-91c048589735.xml;https://odws.hccg.gov.tw/001/Upload/25/opendataback/9059/1992/80b22a7e-6420-42a6-8f2a-91c048589735.json,UTF-8;UTF-8;UTF-8;UTF-8,系統介接程式,115年4月新竹市iHsinchu免費無線上網熱點流量統計一覽表供民眾參閱,年月;熱點名稱;使用人次;使用人數;總分鐘數;總流量MB,數位發展處,不定期更新,政府資料開放授權條款-第1版,,免費,劉丞閔|,03-5216121#339,2026-05-08 00:00:00,2026-05-08 12:44:58,,0;0;0;0
177779,115年度全國村里長團體傷害保險（富邦產險）之統計,檔案資料,公共資訊,白金,CSV,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/3241B176-A27E-44D9-A1C4-554937BB1864/resource/C5571EA4-85E9-4A49-9148-0DB82B209084/download,UTF-8,系統介接程式,115年，第1季，第2季，第3季，第4季，全國村（里）長，團體傷害保險，縣（市）別,Date(日期);County_or _city(縣市別);Number_of_village_heads(村里長總人數);Insured_number_of_village_heads(村里長投保人數);Insurance_rate(投保率),民政司,不定期更新,政府資料開放授權條款-第1版,,免費,許富凱,02-23565414,2026-06-17 15:33:15,2026-06-17 15:35:03,,22
177780,115年5月花蓮縣使用牌照稅稽徵   ,檔案資料,交通及通訊,金,CSV,https://ws.hl.gov.tw/001/Upload/518/relfile/22646/211430/e9918fa1-b1ae-469b-9e60-8c57bed1b677.csv,UTF-8,原始資料,"花蓮縣車輛件數及稅額
",項目;件數合計;稅額合計;應稅車輛件數;應稅車輛稅額;臨時牌照車輛件數;臨時牌照車輛稅額;試車牌照車輛件數;試車牌照車輛稅額;免稅車輛,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,蔡欣華,038226121#242,2026-06-17 00:00:00,2026-06-17 17:38:24,,32
177789,我推動參與國際民航組織(ICAO)案說帖,檔案資料,公共資訊,金,CSV,https://ws.mofa.gov.tw/001/Upload/402/relfile/184/122512/6ff601fc-e075-4fe8-806c-09ba129db45d.csv,UTF-8,原始資料,我推動參與「國際民航組織」(ICAO)說帖中文版,年份;語系;主旨;內容,外交部,不定期更新,政府資料開放授權條款-第1版,https://subsite.mofa.gov.tw/igo/News_Content.aspx?n=6009&s=121245,免費,黃學楀,02-2380-5370,2026-06-18 00:00:00,2026-06-22 09:18:04,,2
177783,我推動參與世界衛生組織我推動參與(WHO)案部長專文,檔案資料,公共資訊,金,CSV,https://ws.mofa.gov.tw/001/Upload/402/relfile/184/122512/96f2eab9-8525-42d6-a2ea-6433cb09eb87.csv,UTF-8,原始資料,我推動參與「世界衛生大會」(WHA)案衛生福利部長專文(中英文版),年份;語系;主旨;內容,外交部,不定期更新,政府資料開放授權條款-第1版,https://ws.mofa.gov.tw/001/Upload/402/relfile/184/122512/96f2eab9-8525-42d6-a2ea-6433cb09eb87.csv,免費,黃學楀,02-2380-5370,2026-06-22 00:00:00,2026-06-18 18:56:50,,2
177784,我推動參與世界衛生組織(WHO)案說帖,檔案資料,公共資訊,金,CSV,https://ws.mofa.gov.tw/001/Upload/402/relfile/184/122512/8fcb7951-c562-4ca1-9c6a-51619fd8ca40.csv,UTF-8,原始資料,我推動參與「世界衛生大會」(WHA)案說帖,年份;主旨;內容,外交部,不定期更新,政府資料開放授權條款-第1版,https://ws.mofa.gov.tw/001/Upload/402/relfile/184/122512/8fcb7951-c562-4ca1-9c6a-51619fd8ca40.csv,免費,黃學楀,02-2380-5370,2026-06-22 00:00:00,2026-06-18 18:49:24,,1
177743,115年5月花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-本月數,檔案資料,公共資訊,白金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjEwOTI3L2ZjZDFkMTE1LWEzNmYtNDM1Ni05NDM1LTlkYmQyYzE5NTI0YS5jc3Y%3d&n=MTE15bm0NeaciOiKseiTrue4o%2bWQhOmgheeoheaNkOWvpuW%2btea3qOmhjeiIh%2bmgkOeul%2baVuOWPiuS4iuW5tOWQjOacn%2bavlOi8gy3mnKzmnIjmlbguY3N2,UTF-8,原始資料,花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-本月數,稅目別;本月實徵數合計(新臺幣元);本月實徵數本年度(新臺幣元);本月實徵數以前年度(新臺幣元);本月退還以前年度歲入款(新臺幣元);本月實徵淨額(新臺幣元);本月分配預算數(新臺幣元);本月實徵淨額占預算數(%);上年同月實徵淨額(新臺幣元);本月實徵淨額與上年同月比較增減(%),花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,https://csa.hl.gov.tw/opendata/News_Content.aspx?Create=1&n=26021&state=F5D336F102ACBC68&s=210927&ccms_cs=1&sms=22646,免費,陳可威,03-8226121#153,2026-06-11 00:00:00,2026-06-11 13:30:11,,25
177744,115年5月花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-累計數,檔案資料,公共資訊,白金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjEwOTI4L2U3MmU4ODRlLTAyYmQtNDNmNy1iNDQ5LWQ3MjM1NjVhNDQyNC5jc3Y%3d&n=MTE15bm0NeaciOiKseiTrue4o%2bWQhOmgheeoheaNkOWvpuW%2btea3qOmhjeiIh%2bmgkOeul%2baVuOWPiuS4iuW5tOWQjOacn%2bavlOi8gy3ntK%2foqIjmlbguY3N2,UTF-8,原始資料,花蓮縣各項稅捐實徵淨額與預算數及上年同期比較-累計數,稅目別;累計實徵數合計(新臺幣元);累計實徵數本年度(新臺幣元);累計實徵數以前年度(新臺幣元);累計退還以前年度收入數(新臺幣元);累計實徵淨額(新臺幣元);全年度預算數(新臺幣元);累計實徵淨額占全年預算數百分比(%);同期分配預算數(新臺幣元);累計實徵淨額占同期分配預算數百分比(%);上年同期實徵淨額(新臺幣元);累計實徵淨額與上年同期比較增減(%),花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,https://csa.hl.gov.tw/opendata/News_Content.aspx?Create=1&n=26021&state=F5D336F102ACBC68&s=210928&ccms_cs=1&sms=22646,免費,陳可威,03-8226121#153,2026-06-11 00:00:00,2026-06-11 13:31:31,,25
